debate_id,date,type
0,1960-09-26,P
1,1960-10-07,P
2,1960-10-13,P
3,1960-10-21,P
4,1976-09-23,P
5,1976-10-06,P
6,1976-10-22,P
7,1980-10-28,P
8,1980-09-21,P
9,1984-10-07,P
10,1984-10-21,P
11,1984-10-11,VP
12,1988-09-25,P
13,1988-10-13,P
14,1992-10-11,P
15,1992-10-15,P
16,1992-10-19,P
17,1988-10-05,VP
18,1992-10-13,VP
19,1996-10-06,P
20,1996-10-16,P
21,1996-10-09,VP
22,2000-10-03,P
23,2000-10-11,P
24,2000-10-17,P
25,2004-09-30,P
26,2004-10-08,P
27,2004-10-13,P
28,2000-10-05,VP
29,2004-10-05,VP
30,2008-09-26,P
31,2008-10-07,P
32,2008-10-15,P
33,2012-10-03,P
34,2012-10-16,P
35,2012-10-22,P
36,2008-10-02,VP
37,2012-10-11,VP
38,2020-09-29,P
39,2020-10-22,P
40,2016-09-26,P
41,2016-10-09,P
42,2016-10-19,P
43,2016-10-04,VP
44,2020-10-07,VP
